epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.024,0.66973,6.29171,0.41221,0,0,0,0,0,0,0,0.000332768,0.000332768,0.000332768
2,1338.48,0.76683,5.15355,0.44404,0,0,0,0,0,0,0,0.000622139,0.000622139,0.000622139
3,2060.69,0.77187,4.1557,0.46021,0,0,0,0,0,0,0,0.00086751,0.00086751,0.00086751
4,2774.83,0.77473,3.25543,0.4607,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
5,3482.12,0.69003,2.6289,0.4286,0,0,0,0,0,0,0,0.000736,0.000736,0.000736
6,4181.13,0.35832,1.72471,0.22347,0,0,0,0,0,0,0,0.00067,0.00067,0.00067
7,4857.78,0.33493,1.33274,0.21429,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
8,5528.6,0.32996,1.13208,0.20689,0,0,0,0,0,0,0,0.000538,0.000538,0.000538
9,6205.31,0.31094,1.00572,0.20132,0,0,0,0,0,0,0,0.000472,0.000472,0.000472
10,7006.43,0.32497,0.95557,0.20953,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
11,7561.55,0.29627,0.87939,0.1916,0,0,0,0,0,0,0,0.00034,0.00034,0.00034
12,8153.8,0.29573,0.85285,0.19336,0,0,0,0,0,0,0,0.000274,0.000274,0.000274
13,8765.35,0.28002,0.81654,0.17563,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
14,9384.98,0.26937,0.78312,0.17815,0,0,0,0,0,0,0,0.000142,0.000142,0.000142
15,10051.9,0.26982,0.76207,0.17479,0.04923,0.12173,0.04288,0.01276,0.35435,1.05268,0.23345,7.6e-05,7.6e-05,7.6e-05
